Melakarta ID,Chakra ID,Name
1,1,Kanakangi
2,1,Ratnangi
3,1,Ganamurti
4,1,Vanaspati
5,1,Manavati
6,2,Tanarupi
7,2,Senavati
8,2,Hanumatodi
9,2,Dhenuka
10,2,Natakapriya
11,2,Kokilapriya
12,2,Rupavati
13,3,Gayakapriya
14,3,Vakulabharanam
15,3,Mayamalavagowla
16,3,Chakravakam
17,3,Suryakantam
18,3,Hatakambari
19,4,Jhankaradhwani
20,4,Natabhairavi
21,4,Keeravani
22,4,Kharaharapriya
23,4,Gourimanohari
24,4,Varunapriya
25,5,Mararanjani
26,5,Charukesi
27,5,Sarasangi
28,5,Harikambhoji
29,5,Dheerasankarabaranam
30,5,Naganandini
31,6,Yagapriya
32,6,Ragavardhini
33,6,Gangeyabhushani
34,6,Vagadheeswari
35,6,Shulini
36,6,Chalanata
37,7,Salagam
38,7,Jalarnavam
39,7,Jhalavarali
40,7,Navaneetam
41,7,Pavani
42,7,Raghupriya
43,8,Gavambhodi
44,8,Bhavapriya
45,8,Shubhapantuvarali
46,8,Shadvidamargini
47,8,Suvarnangi
48,8,Divyamani
49,9,Dhavalambari
50,9,Nāmanarayani
51,9,Kamavardhini
52,9,Ramapriya
53,9,Gamanashrama
54,9,Vishwambari
55,10,Shāmalangi
56,10,Shanmukhapriya
57,10,Simhendramadhyamam
58,10,Hemavati
59,10,Dharmavati
60,10,Neetimati
61,11,Kantamani
62,11,Rishabhapriya
63,11,Latangi
64,11,Vachaspati
65,11,Mechakalyani
66,11,Chitrambari
67,12,Sucharitra
68,12,Jyoti swarupini
69,12,Dhatuvardani
70,12,Nāsikabhushini
71,12,Kōsalam
72,12,Rasikapriya
