Melakarta ID,Chakra ID,Name,Scale
1,1,Kanakangi,S R₁ G₁ M₁ P D₁ N₁ Ṡ
2,1,Ratnangi,S R₁ G₁ M₁ P D₁ N₂ Ṡ
3,1,Ganamurti,S R₁ G₁ M₁ P D₁ N₃ Ṡ
4,1,Vanaspati,S R₁ G₁ M₁ P D₂ N₂ Ṡ
5,1,Manavati,S R₁ G₁ M₁ P D₂ N₃ Ṡ
6,2,Tanarupi,S R₁ G₁ M₁ P D₃ N₃ Ṡ
7,2,Senavati,S R₁ G₂ M₁ P D₁ N₁ Ṡ
8,2,Hanumatodi,S R₁ G₂ M₁ P D₁ N₂ Ṡ
9,2,Dhenuka,S R₁ G₂ M₁ P D₁ N₃ Ṡ
10,2,Natakapriya,S R₁ G₂ M₁ P D₂ N₂ Ṡ
11,2,Kokilapriya,S R₁ G₂ M₁ P D₂ N₃ Ṡ
12,2,Rupavati,S R₁ G₂ M₁ P D₃ N₃ Ṡ
13,3,Gayakapriya,S R₁ G₃ M₁ P D₁ N₁ Ṡ
14,3,Vakulabharanam,S R₁ G₃ M₁ P D₁ N₂ Ṡ
15,3,Mayamalavagowla,S R₁ G₃ M₁ P D₁ N₃ Ṡ
16,3,Chakravakam,S R₁ G₃ M₁ P D₂ N₂ Ṡ
17,3,Suryakantam,S R₁ G₃ M₁ P D₂ N₃ Ṡ
18,3,Hatakambari,S R₁ G₃ M₁ P D₃ N₃ Ṡ
19,4,Jhankaradhwani,S R₂ G₂ M₁ P D₁ N₁ Ṡ
20,4,Natabhairavi,S R₂ G₂ M₁ P D₁ N₂ Ṡ
21,4,Keeravani,S R₂ G₂ M₁ P D₁ N₃ Ṡ
22,4,Kharaharapriya,S R₂ G₂ M₁ P D₂ N₂ Ṡ
23,4,Gourimanohari,S R₂ G₂ M₁ P D₂ N₃ Ṡ
24,4,Varunapriya,S R₂ G₂ M₁ P D₃ N₃ Ṡ
25,5,Mararanjani,S R₂ G₃ M₁ P D₁ N₁ Ṡ
26,5,Charukesi,S R₂ G₃ M₁ P D₁ N₂ Ṡ
27,5,Sarasangi,S R₂ G₃ M₁ P D₁ N₃ Ṡ
28,5,Harikambhoji,S R₂ G₃ M₁ P D₂ N₂ Ṡ
29,5,Dheerasankarabaranam,S R₂ G₃ M₁ P D₂ N₃ Ṡ
30,5,Naganandini,S R₂ G₃ M₁ P D₃ N₃ Ṡ
31,6,Yagapriya,S R₃ G₃ M₁ P D₁ N₁ Ṡ
32,6,Ragavardhini,S R₃ G₃ M₁ P D₁ N₂ Ṡ
33,6,Gangeyabhushani,S R₃ G₃ M₁ P D₁ N₃ Ṡ
34,6,Vagadheeswari,S R₃ G₃ M₁ P D₂ N₂ Ṡ
35,6,Shulini,S R₃ G₃ M₁ P D₂ N₃ Ṡ
36,6,Chalanata,S R₃ G₃ M₁ P D₃ N₃ Ṡ
37,7,Salagam,S R₁ G₁ M₂ P D₁ N₁ Ṡ
38,7,Jalarnavam,S R₁ G₁ M₂ P D₁ N₂ Ṡ
39,7,Jhalavarali,S R₁ G₁ M₂ P D₁ N₃ Ṡ
40,7,Navaneetam,S R₁ G₁ M₂ P D₂ N₂ Ṡ
41,7,Pavani,S R₁ G₁ M₂ P D₂ N₃ Ṡ
