,0,1,2,3,4,5,6
1,1,1,3,2,1,1,3
2,1,1,3,2,1,2,2
3,1,1,3,2,1,3,1
4,1,1,3,2,2,1,2
5,1,1,3,2,2,2,1
6,1,1,3,2,3,1,1
7,1,2,2,2,1,1,3
8,1,2,2,2,1,2,2
9,1,2,2,2,1,3,1
10,1,2,2,2,2,1,2
11,1,2,2,2,2,2,1
12,1,2,2,2,3,1,1
13,1,3,1,2,1,1,3
14,1,3,1,2,1,2,2
15,1,3,1,2,1,3,1
16,1,3,1,2,2,1,2
17,1,3,1,2,2,2,1
18,1,3,1,2,3,1,1
19,2,1,2,2,1,1,3
20,2,1,2,2,1,2,2
21,2,1,2,2,1,3,1
22,2,1,2,2,2,1,2
23,2,1,2,2,2,2,1
24,2,1,2,2,3,1,1
25,2,2,1,2,1,1,3
26,2,2,1,2,1,2,2
27,2,2,1,2,1,3,1
28,2,2,1,2,2,1,2
29,2,2,1,2,2,2,1
30,2,2,1,2,3,1,1
31,3,1,1,2,1,1,3
32,3,1,1,2,1,2,2
33,3,1,1,2,1,3,1
34,3,1,1,2,2,1,2
35,3,1,1,2,2,2,1
36,3,1,1,2,3,1,1
37,1,1,4,1,1,1,3
38,1,1,4,1,1,2,2
39,1,1,4,1,1,3,1
40,1,1,4,1,2,1,2
41,1,1,4,1,2,2,1
42,1,1,4,1,3,1,1
43,1,2,3,1,1,1,3
44,1,2,3,1,1,2,2
45,1,2,3,1,1,3,1
46,1,2,3,1,2,1,2
47,1,2,3,1,2,2,1
48,1,2,3,1,3,1,1
49,1,3,2,1,1,1,3
50,1,3,2,1,1,2,2
51,1,3,2,1,1,3,1
52,1,3,2,1,2,1,2
53,1,3,2,1,2,2,1
54,1,3,2,1,3,1,1
55,2,1,3,1,1,1,3
56,2,1,3,1,1,2,2
57,2,1,3,1,1,3,1
58,2,1,3,1,2,1,2
59,2,1,3,1,2,2,1
60,2,1,3,1,3,1,1
61,2,2,2,1,1,1,3
62,2,2,2,1,1,2,2
63,2,2,2,1,1,3,1
64,2,2,2,1,2,1,2
65,2,2,2,1,2,2,1
66,2,2,2,1,3,1,1
67,3,1,2,1,1,1,3
68,3,1,2,1,1,2,2
69,3,1,2,1,1,3,1
70,3,1,2,1,2,1,2
71,3,1,2,1,2,2,1
72,3,1,2,1,3,1,1
